code,iban_length,bban_structure,bank_offset,bank_length,branch_offset,branch_length,account_offset,account_length,national_check_offset,national_check_length,sepa,example
AD,24,4!n4!n12!c,4,4,8,4,12,12,,,1,AD1200012030200359100100
AE,23,3!n16!n,4,3,,,7,16,,,0,AE070331234567890123456
AL,28,8!n16!c,4,3,7,4,12,16,11,1,1,AL47212110090000000235698741
AT,20,5!n11!n,4,5,,,9,11,,,1,AT611904300234573201
AZ,28,4!a20!c,4,4,,,8,20,,,0,AZ21NABZ00000000137010001944
BA,20,3!n3!n8!n2!n,4,3,7,3,10,8,18,2,0,BA391290079401028494
BE,16,3!n7!n2!n,4,3,,,7,7,14,2,1,BE68539007547034
BG,22,4!a4!n2!n8!c,4,4,8,4,14,8,,,1,BG80BNBG96611020345678
BH,22,4!a14!c,4,4,,,8,14,,,0,BH67BMAG00001299123456
BR,29,8!n5!n10!n1!a1!c,4,8,12,5,17,10,,,0,BR9700360305000010009795493P1
BY,28,4!c4!n16!c,4,4,,,12,16,,,0,BY13NBRB3600900000002Z00AB00
CH,21,5!n12!c,4,5,,,9,12,,,1,CH9300762011623852957
CR,22,4!n14!n,4,4,,,8,14,,,0,CR05015202001026284066
CY,28,3!n5!n16!c,4,3,7,5,12,16,,,1,CY17002001280000001200527600
CZ,24,4!n6!n10!n,4,4,,,8,16,,,1,CZ6508000000192000145399
DE,22,8!n10!n,4,8,,,12,10,,,1,DE89370400440532013000
DK,18,4!n9!n1!n,4,4,,,8,9,17,1,1,DK5000400440116243
DO,28,4!c20!n,4,4,,,8,20,,,0,DO28BAGR00000001212453611324
EE,20,2!n2!n11!n1!n,4,2,,,6,13,19,1,1,EE382200221020145685
EG,29,4!n4!n17!n,4,4,8,4,12,17,,,0,EG380019000500000000263180002
ES,24,4!n4!n2!n10!n,4,4,8,4,14,10,12,2,1,ES9121000418450200051332
FI,18,3!n11!n,4,3,,,7,10,17,1,1,FI2112345600000785
FO,18,4!n9!n1!n,4,4,,,8,9,17,1,0,FO6264600001631634
FR,27,5!n5!n11!c2!n,4,5,9,5,14,11,25,2,1,FR1420041010050500013M02606
GB,22,4!a6!n8!n,4,4,8,6,14,8,,,1,GB29NWBK60161331926819
GE,22,2!a16!n,4,2,,,6,16,,,0,GE29NB0000000101904917
GI,23,4!a15!c,4,4,,,8,15,,,1,GI75NWBK000000007099453
GL,18,4!n9!n1!n,4,4,,,8,9,17,1,0,GL8964710001000206
GR,27,3!n4!n16!c,4,3,7,4,11,16,,,1,GR1601101250000000012300695
GT,28,4!c20!c,4,4,,,8,20,,,0,GT82TRAJ01020000001210029690
HR,21,7!n10!n,4,7,,,11,10,,,1,HR1210010051863000160
HU,28,3!n4!n1!n15!n1!n,4,3,7,4,12,15,11,1,1,HU42117730161111101800000000
IE,22,4!a6!n8!n,4,4,8,6,14,8,,,1,IE29AIBK93115212345678
IL,23,3!n3!n13!n,4,3,7,3,10,13,,,0,IL620108000000099999999
IQ,23,4!a3!n12!n,4,4,8,3,11,12,,,0,IQ98NBIQ850123456789012
IS,26,4!n2!n6!n10!n,4,4,,,8,18,,,1,IS140159260076545510730339
IT,27,1!a5!n5!n12!c,5,5,10,5,15,12,4,1,1,IT60X0542811101000000123456
JO,30,4!a4!n18!c,4,4,8,4,12,18,,,0,JO94CBJO0010000000000131000302
KW,30,4!a22!c,4,4,,,8,22,,,0,KW81CBKU0000000000001234560101
KZ,20,3!n13!c,4,3,,,7,13,,,0,KZ86125KZT5004100100
LB,28,4!n20!c,4,4,,,8,20,,,0,LB62099900000001001901229114
LC,32,4!a24!c,4,4,,,8,24,,,0,LC55HEMM000100010012001200023015
LI,21,5!n12!c,4,5,,,9,12,,,1,LI21088100002324013AA
LT,20,5!n11!n,4,5,,,9,11,,,1,LT121000011101001000
LU,20,3!n13!c,4,3,,,7,13,,,1,LU280019400644750000
LV,21,4!a13!c,4,4,,,8,13,,,1,LV80BANK0000435195001
LY,25,3!n3!n15!n,4,3,7,3,10,15,,,0,LY83002048000020100120361
MC,27,5!n5!n11!c2!n,4,5,9,5,14,11,25,2,1,MC5811222000010123456789030
MD,24,2!c18!c,4,2,,,6,18,,,1,MD24AG000225100013104168
ME,22,3!n13!n2!n,4,3,,,7,13,20,2,1,ME25505000012345678951
MK,19,3!n10!c2!n,4,3,,,7,10,17,2,1,MK07250120000058984
MR,27,5!n5!n11!n2!n,4,5,9,5,14,11,25,2,0,MR1300020001010000123456753
MT,31,4!a5!n18!c,4,4,8,5,13,18,,,1,MT84MALT011000012345MTLCAST001S
MU,30,4!a2!n2!n12!n3!n3!a,4,6,10,2,12,12,,,0,MU17BOMM0101101030300200000MUR
NL,18,4!a10!n,4,4,,,8,10,,,1,NL91ABNA0417164300
NO,15,4!n6!n1!n,4,4,,,8,6,14,1,1,NO9386011117947
PK,24,4!a16!c,4,4,,,8,16,,,0,PK36SCBL0000001123456702
PL,28,8!n16!n,4,3,7,4,12,16,11,1,1,PL61109010140000071219812874
PS,29,4!a21!c,4,4,,,8,21,,,0,PS92PALS000000000400123456702
PT,25,4!n4!n11!n2!n,4,4,8,4,12,11,23,2,1,PT50000201231234567890154
QA,29,4!a21!c,4,4,,,8,21,,,0,QA58DOHB00001234567890ABCDEFG
RO,24,4!a16!c,4,4,,,8,16,,,1,RO49AAAA1B31007593840000
RS,22,3!n13!n2!n,4,3,,,7,13,20,2,1,RS35260005601001611379
SA,24,2!n18!c,4,2,,,6,18,,,0,SA0380000000608010167519
SC,31,4!a2!n2!n16!n3!a,4,6,10,2,12,16,,,0,SC18SSCB11010000000000001497USD
SE,24,3!n16!n1!n,4,3,,,7,16,23,1,1,SE4550000000058398257466
SI,19,5!n8!n2!n,4,5,,,9,8,17,2,1,SI56263300012039086
SK,24,4!n6!n10!n,4,4,,,8,16,,,1,SK3112000000198742637541
SM,27,1!a5!n5!n12!c,5,5,10,5,15,12,4,1,1,SM86U0322509800000000270100
ST,25,4!n4!n11!n2!n,4,4,8,4,12,11,23,2,0,ST68000100010051845310112
SV,28,4!a20!n,4,4,,,8,20,,,0,SV62CENR00000000000000700025
TL,23,3!n14!n2!n,4,3,,,7,14,21,2,0,TL380080012345678910157
TN,24,2!n3!n13!n2!n,4,2,6,3,9,13,22,2,0,TN5910006035183598478831
TR,26,5!n1!n16!c,4,5,,,10,16,,,0,TR330006100519786457841326
UA,29,6!n19!c,4,6,,,10,19,,,0,UA903052992990004149123456789
VA,22,3!n15!n,4,3,,,7,15,,,1,VA59001123000012345678
VG,24,4!a16!n,4,4,,,8,16,,,0,VG96VPVG0000012345678901
XK,20,4!n10!n2!n,4,2,6,2,8,10,18,2,0,XK051212012345678906
